title,price,release,link
EA SPORTS™ FIFA 23,discount from ₪289.00 to ₪115.60 (60%),"29 Sep, 2022",https://store.steampowered.com/app/1811260/EA_SPORTS_FIFA_23/?snr=1_7_7_151_150_1
EA SPORTS™ FIFA 23 Ultimate Team™ Starter Bundle,₪34.50,"14 Dec, 2022",https://store.steampowered.com/app/2224220/EA_SPORTS_FIFA_23_Ultimate_Team_Starter_Bundle/?snr=1_7_7_151_150_1
赌神模拟器：亚洲风云God Of Gamblers,none,"19 Feb, 2023",https://store.steampowered.com/app/2091550/God_Of_Gamblers/?snr=1_7_7_151_150_1
ConflictCraft,discount from ₪3.50 to ₪0.98 (72%),"8 Dec, 2016",https://store.steampowered.com/app/495570/ConflictCraft/?snr=1_7_7_151_150_1
Lamp Head,discount from ₪14.50 to ₪1.45 (90%),"1 Jun, 2017",https://store.steampowered.com/app/603030/Lamp_Head/?snr=1_7_7_151_150_1
Fantasy Quest Solitaire,discount from ₪32.95 to ₪4.94 (85%),"16 Jan, 2018",https://store.steampowered.com/app/755950/Fantasy_Quest_Solitaire/?snr=1_7_7_151_150_1
Drop Hunt - Adventure Puzzle,discount from ₪3.50 to ₪0.98 (72%),"23 Feb, 2017",https://store.steampowered.com/app/596870/Drop_Hunt__Adventure_Puzzle/?snr=1_7_7_151_150_1
MechDefender - Tower Defense,discount from ₪14.50 to ₪1.45 (90%),"3 Mar, 2020",https://store.steampowered.com/app/562730/MechDefender__Tower_Defense/?snr=1_7_7_151_150_1
三国群英志,Free To Play,"2 Dec, 2022",https://store.steampowered.com/app/2181430/_/?snr=1_7_7_151_150_1
Extreme Truck Stunts,discount from ₪14.50 to ₪1.45 (90%),"21 Oct, 2022",https://store.steampowered.com/app/2148760/Extreme_Truck_Stunts/?snr=1_7_7_151_150_1
Asian Truck Simulator,discount from ₪3.50 to ₪0.98 (72%),"9 Sep, 2022",https://store.steampowered.com/app/2117080/Asian_Truck_Simulator/?snr=1_7_7_151_150_1
Control Craft 2,discount from ₪14.50 to ₪1.45 (90%),"15 Feb, 2016",https://store.steampowered.com/app/439930/Control_Craft_2/?snr=1_7_7_151_150_1
Fly Fly Tuk Tuk,discount from ₪3.50 to ₪0.98 (72%),"8 Aug, 2022",https://store.steampowered.com/app/2085510/Fly_Fly_Tuk_Tuk/?snr=1_7_7_151_150_1
Control Craft 3,discount from ₪3.50 to ₪0.98 (72%),"30 Dec, 2016",https://store.steampowered.com/app/490910/Control_Craft_3/?snr=1_7_7_151_150_1
Empire of Empires,discount from ₪3.50 to ₪0.98 (72%),"29 Jul, 2022",https://store.steampowered.com/app/2082730/Empire_of_Empires/?snr=1_7_7_151_150_1
Waves Running Simulator,₪169.95,"7 Apr, 2022",https://store.steampowered.com/app/1926630/Waves_Running_Simulator/?snr=1_7_7_151_150_1
School Bus Driver Simulator,discount from ₪3.50 to ₪0.98 (72%),"21 May, 2022",https://store.steampowered.com/app/1977280/School_Bus_Driver_Simulator/?snr=1_7_7_151_150_1
Obelixes Tower Defense,discount from ₪36.95 to ₪3.69 (90%),"18 Jun, 2022",https://store.steampowered.com/app/2016140/Obelixes_Tower_Defense/?snr=1_7_7_151_150_1
ConflictCraft 2 - Game of the Year Edition,discount from ₪3.50 to ₪1.75 (50%),"10 Feb, 2022",https://store.steampowered.com/app/1877370/ConflictCraft_2__Game_of_the_Year_Edition/?snr=1_7_7_151_150_1
Tuk Tuk Extreme Simulator,discount from ₪14.50 to ₪1.45 (90%),"2 May, 2022",https://store.steampowered.com/app/1967620/Tuk_Tuk_Extreme_Simulator/?snr=1_7_7_151_150_1
Shark Assault Simulator,₪169.95,"10 Jun, 2022",https://store.steampowered.com/app/1948240/Shark_Assault_Simulator/?snr=1_7_7_151_150_1
Two Sedans Driving Simulator,discount from ₪36.95 to ₪3.69 (90%),"25 Mar, 2022",https://store.steampowered.com/app/1917720/Two_Sedans_Driving_Simulator/?snr=1_7_7_151_150_1
Put Your Brain On,₪169.95,"10 May, 2022",https://store.steampowered.com/app/1971730/Put_Your_Brain_On/?snr=1_7_7_151_150_1
The Last Hope: Trump vs Mafia - North Korea,discount from ₪3.50 to ₪0.98 (72%),"20 Jan, 2017",https://store.steampowered.com/app/581030/The_Last_Hope_Trump_vs_Mafia__North_Korea/?snr=1_7_7_151_150_1
Freestyle Football 3 - Nosetu Inc Games,Free To Play,"26 Mar, 2020",https://store.steampowered.com/app/1255970/Freestyle_Football_3__Nosetu_Inc_Games/?snr=1_7_7_151_150_1
The Last Hope,discount from ₪3.50 to ₪0.98 (72%),"29 Aug, 2016",https://store.steampowered.com/app/522570/The_Last_Hope/?snr=1_7_7_151_150_2
The Zombie Smasher,discount from ₪36.95 to ₪3.69 (90%),"18 Jan, 2022",https://store.steampowered.com/app/1859590/The_Zombie_Smasher/?snr=1_7_7_151_150_2
Super Spyroxo Adventures: Island of Dnfoo,none,2023,https://store.steampowered.com/app/2089750/Super_Spyroxo_Adventures_Island_of_Dnfoo/?snr=1_7_7_151_150_2
Europe Bus Driver,discount from ₪14.50 to ₪1.45 (90%),"18 Nov, 2022",https://store.steampowered.com/app/2147370/Europe_Bus_Driver/?snr=1_7_7_151_150_2
The Pizza Courier,discount from ₪3.50 to ₪0.98 (72%),"23 Sep, 2022",https://store.steampowered.com/app/2124670/The_Pizza_Courier/?snr=1_7_7_151_150_2
Police Radar,discount from ₪3.50 to ₪0.98 (72%),"2 Sep, 2022",https://store.steampowered.com/app/2109610/Police_Radar/?snr=1_7_7_151_150_2
