title,price,release,link
EA SPORTS™ FIFA 23,discount from ₪289.00 to ₪115.60 (60%),"29 Sep, 2022",https://store.steampowered.com/app/1811260/EA_SPORTS_FIFA_23/?snr=1_7_7_151_150_1
FIFA 22,₪249.00,"30 Sep, 2021",https://store.steampowered.com/app/1506830/FIFA_22/?snr=1_7_7_151_150_1
EA SPORTS™ FIFA 23 Ultimate Team™ Starter Bundle,₪34.50,"14 Dec, 2022",https://store.steampowered.com/app/2224220/EA_SPORTS_FIFA_23_Ultimate_Team_Starter_Bundle/?snr=1_7_7_151_150_1
赌神模拟器：亚洲风云God Of Gamblers,none,"19 Feb, 2023",https://store.steampowered.com/app/2091550/God_Of_Gamblers/?snr=1_7_7_151_150_1
Skater XL - The Ultimate Skateboarding Game,₪149.95,"28 Jul, 2020",https://store.steampowered.com/app/962730/Skater_XL__The_Ultimate_Skateboarding_Game/?snr=1_7_7_151_150_1
Pixel Cup Soccer - Ultimate Edition,₪59.99,"14 Oct, 2022",https://store.steampowered.com/app/1620540/Pixel_Cup_Soccer__Ultimate_Edition/?snr=1_7_7_151_150_1
Super Buckyball Tournament,none,Coming Soon Wishlist Now!,https://store.steampowered.com/app/1059110/Super_Buckyball_Tournament/?snr=1_7_7_151_150_1
Ball 3D: Soccer Online,discount from ₪3.50 to ₪1.01 (71%),"31 Mar, 2017",https://store.steampowered.com/app/485610/Ball_3D_Soccer_Online/?snr=1_7_7_151_150_1
Pro 11 - Football Manager Game,Free To Play,"13 Feb, 2020",https://store.steampowered.com/app/844960/Pro_11__Football_Manager_Game/?snr=1_7_7_151_150_1
Kopanito All-Stars Soccer,₪21.95,"16 Nov, 2016",https://store.steampowered.com/app/399820/Kopanito_AllStars_Soccer/?snr=1_7_7_151_150_1
Need for Drive - Open World Multiplayer Racing,₪14.50,"17 Feb, 2021",https://store.steampowered.com/app/1531720/Need_for_Drive__Open_World_Multiplayer_Racing/?snr=1_7_7_151_150_1
Lamp Head,₪14.50,"1 Jun, 2017",https://store.steampowered.com/app/603030/Lamp_Head/?snr=1_7_7_151_150_1
Egyptian Senet,discount from ₪14.50 to ₪1.45 (90%),"20 Aug, 2015",https://store.steampowered.com/app/391580/Egyptian_Senet/?snr=1_7_7_151_150_1
Supraball,Free To Play,"8 Feb, 2019",https://store.steampowered.com/app/321400/Supraball/?snr=1_7_7_151_150_1
Yerr Out,Free,"16 Oct, 2022",https://store.steampowered.com/app/1963360/Yerr_Out/?snr=1_7_7_151_150_1
Ball 2D: Soccer Online,discount from ₪3.50 to ₪1.01 (71%),"8 Sep, 2017",https://store.steampowered.com/app/703940/Ball_2D_Soccer_Online/?snr=1_7_7_151_150_1
Skater XL - Tampa Pro 2022 Gear Pack For Charity,₪36.95,"26 May, 2022",https://store.steampowered.com/app/1952000/Skater_XL__Tampa_Pro_2022_Gear_Pack_For_Charity/?snr=1_7_7_151_150_1
Drop Hunt - Adventure Puzzle,₪3.50,"23 Feb, 2017",https://store.steampowered.com/app/596870/Drop_Hunt__Adventure_Puzzle/?snr=1_7_7_151_150_1
