title,price,release,link
God of War,discount from ₪199.00 to ₪119.40 (40%),"14 Jan, 2022",https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_151_150_1
Shadow Unit - GOD OF WAR EDITION,none,Coming soon,https://store.steampowered.com/app/914120/Shadow_Unit__GOD_OF_WAR_EDITION/?snr=1_7_7_151_150_1
Total War: WARHAMMER III - Champions of Chaos,₪69.95,"23 Aug, 2022",https://store.steampowered.com/app/1824060/Total_War_WARHAMMER_III__Champions_of_Chaos/?snr=1_7_7_151_150_1
"RTK13 - Additional scenario 〝The God of War, Surrounded″ 追加シナリオ「軍神包囲網」",Free,"19 Oct, 2016",https://store.steampowered.com/app/506803/RTK13__Additional_scenario_The_God_of_War_Surrounded/?snr=1_7_7_151_150_1
PARTICLE OF GOD,none,TBC,https://store.steampowered.com/app/1934440/PARTICLE_OF_GOD/?snr=1_7_7_151_150_1
Trillion: God of Destruction,₪36.95,"7 Nov, 2016",https://store.steampowered.com/app/451780/Trillion_God_of_Destruction/?snr=1_7_7_151_150_1
"NOBUNAGA'S AMBITION: SoI - Scenario 2 ""God of War Descends""",₪10.95,"1 Sep, 2015",https://store.steampowered.com/app/392640/NOBUNAGAS_AMBITION_SoI__Scenario_2_God_of_War_Descends/?snr=1_7_7_151_150_1
Total War: WARHAMMER II - Rise of the Tomb Kings,₪73.95,"23 Jan, 2018",https://store.steampowered.com/app/617870/Total_War_WARHAMMER_II__Rise_of_the_Tomb_Kings/?snr=1_7_7_151_150_1
Agarest: Generations of War,₪55.95,"3 Oct, 2013",https://store.steampowered.com/app/237890/Agarest_Generations_of_War/?snr=1_7_7_151_150_1
Artemis: God-Queen of The Hunt,₪29.50,"29 May, 2019",https://store.steampowered.com/app/1081850/Artemis_GodQueen_of_The_Hunt/?snr=1_7_7_151_150_1
Total War: WARHAMMER II - Curse of the Vampire Coast,₪73.95,"8 Nov, 2018",https://store.steampowered.com/app/835670/Total_War_WARHAMMER_II__Curse_of_the_Vampire_Coast/?snr=1_7_7_151_150_1
Blackthorn Arena - Gods of War,₪10.95,"17 Jul, 2020",https://store.steampowered.com/app/1352030/Blackthorn_Arena__Gods_of_War/?snr=1_7_7_151_150_1
Ages of Conflict: World War Simulator,none,Coming soon,https://store.steampowered.com/app/2186320/Ages_of_Conflict_World_War_Simulator/?snr=1_7_7_151_150_1
Guild Wars 2: Heart of Thorns™ & Guild Wars 2: Path of Fire™ Expansions,₪98.83,"23 Aug, 2022",https://store.steampowered.com/app/1996840/Guild_Wars_2_Heart_of_Thorns__Guild_Wars_2_Path_of_Fire_Expansions/?snr=1_7_7_151_150_1
Agarest: Generations of War 2,₪73.95,"19 Feb, 2015",https://store.steampowered.com/app/312790/Agarest_Generations_of_War_2/?snr=1_7_7_151_150_1
Total War: ROME II - Beasts of War Unit Pack,₪12.95,"17 Feb, 2014",https://store.steampowered.com/app/267630/Total_War_ROME_II__Beasts_of_War_Unit_Pack/?snr=1_7_7_151_150_1
Evil West,₪199.00,"21 Nov, 2022",https://store.steampowered.com/app/1065310/Evil_West/?snr=1_7_7_151_150_1
Agarest: Generations of War Zero,₪73.95,"17 Apr, 2014",https://store.steampowered.com/app/260130/Agarest_Generations_of_War_Zero/?snr=1_7_7_151_150_1
Hermes: War of the Gods,discount from ₪25.95 to ₪7.78 (70%),"4 Dec, 2019",https://store.steampowered.com/app/1197700/Hermes_War_of_the_Gods/?snr=1_7_7_151_150_1
War for the Overworld,₪110.95,"2 Apr, 2015",https://store.steampowered.com/app/230190/War_for_the_Overworld/?snr=1_7_7_151_150_1
Kingdom Under Fire: A War of Heroes (GOLD Edition),Free,"6 Dec, 2022",https://store.steampowered.com/app/2183600/Kingdom_Under_Fire_A_War_of_Heroes_GOLD_Edition/?snr=1_7_7_151_150_1
A Plague Tale: Requiem,₪199.00,"17 Oct, 2022",https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem/?snr=1_7_7_151_150_1
军团战棋Legion War,₪36.95,"14 Jul, 2021",https://store.steampowered.com/app/975270/Legion_War/?snr=1_7_7_151_150_1
Total War: ATTILA - Empires of Sand Culture Pack,₪38.95,"15 Sep, 2015",https://store.steampowered.com/app/343463/Total_War_ATTILA__Empires_of_Sand_Culture_Pack/?snr=1_7_7_151_150_1
A Plague Tale: Innocence,discount from ₪149.00 to ₪52.15 (65%),"14 May, 2019",https://store.steampowered.com/app/752590/A_Plague_Tale_Innocence/?snr=1_7_7_151_150_1
A Plague Tale: Innocence,discount from ₪149.00 to ₪52.15 (65%),"14 May, 2019",https://store.steampowered.com/app/752590/A_Plague_Tale_Innocence/?snr=1_7_7_151_150_2
Empires of the Undergrowth,₪73.95,"1 Dec, 2017",https://store.steampowered.com/app/463530/Empires_of_the_Undergrowth/?snr=1_7_7_151_150_2
"Warhammer® 40,000: Dawn of War® II Chaos Rising",₪73.95,"11 Mar, 2010",https://store.steampowered.com/app/20570/Warhammer_40000_Dawn_of_War_II_Chaos_Rising/?snr=1_7_7_151_150_2
War on Mars,none,2022-2023,https://store.steampowered.com/app/1594360/War_on_Mars/?snr=1_7_7_151_150_2
End War RTS,₪3.50,"31 Jul, 2018",https://store.steampowered.com/app/896650/End_War_RTS/?snr=1_7_7_151_150_2
Total War: ROME II - Daughters of Mars Unit Pack,₪12.95,"14 Aug, 2014",https://store.steampowered.com/app/297830/Total_War_ROME_II__Daughters_of_Mars_Unit_Pack/?snr=1_7_7_151_150_2
An Odyssey: Echoes of War,₪21.95,"26 Dec, 2019",https://store.steampowered.com/app/1199220/An_Odyssey_Echoes_of_War/?snr=1_7_7_151_150_2
City of God I:Prison Empire-Tide of Iron-钢铁洪流,₪7.25,"10 May, 2018",https://store.steampowered.com/app/851313/City_of_God_IPrison_EmpireTide_of_Iron/?snr=1_7_7_151_150_2
City of God I:Prison Empire-Fulinkzan-風林火山,₪7.25,"10 May, 2018",https://store.steampowered.com/app/851273/City_of_God_IPrison_EmpireFulinkzan/?snr=1_7_7_151_150_2
Love n War: Warlord by Chance - Sisters of Castus,₪7.25,"19 Sep, 2021",https://store.steampowered.com/app/1660900/Love_n_War_Warlord_by_Chance__Sisters_of_Castus/?snr=1_7_7_151_150_2
War for the Overworld Ultimate Edition,₪219.45,none,https://store.steampowered.com/bundle/1724/War_for_the_Overworld_Ultimate_Edition/?snr=1_7_7_151_150_2
Kingdom Heroes 8 God Zhao Yun,₪3.50,"14 Sep, 2021",https://store.steampowered.com/app/1711772/Kingdom_Heroes_8_God_Zhao_Yun/?snr=1_7_7_151_150_2
Songs of Syx,₪92.95,"21 Sep, 2020",https://store.steampowered.com/app/1162750/Songs_of_Syx/?snr=1_7_7_151_150_2
An Odyssey: Echoes of War Demo,Free Demo,"26 Dec, 2019",https://store.steampowered.com/app/1199220/An_Odyssey_Echoes_of_War/?snr=1_7_7_151_150_2
Assassin's Creed® Valhalla - Dawn of Ragnarök,discount from ₪159.00 to ₪79.50 (50%),"6 Dec, 2022",https://store.steampowered.com/app/2210140/Assassins_Creed_Valhalla__Dawn_of_Ragnark/?snr=1_7_7_151_150_2
No King No Kingdom - Altar of War,₪18.50,"1 Aug, 2022",https://store.steampowered.com/app/2078220/No_King_No_Kingdom__Altar_of_War/?snr=1_7_7_151_150_2
Dragon Age™ Inquisition,₪169.00,"4 Jun, 2020",https://store.steampowered.com/app/1222690/Dragon_Age_Inquisition/?snr=1_7_7_151_150_2
"Warhammer 40,000: Dawn of War II - Retribution - Ridiculously Bloody Blood Pack",₪7.25,"29 Oct, 2015",https://store.steampowered.com/app/378040/Warhammer_40000_Dawn_of_War_II__Retribution__Ridiculously_Bloody_Blood_Pack/?snr=1_7_7_151_150_2
"Warhammer® 40,000™: Dawn of War® II - Retribution - The Last Stand Necron Overlord",₪36.95,"15 Mar, 2016",https://store.steampowered.com/app/378041/Warhammer_40000_Dawn_of_War_II__Retribution__The_Last_Stand_Necron_Overlord/?snr=1_7_7_151_150_2
War for the Overworld - The Under Games Expansion,₪36.95,"20 Apr, 2018",https://store.steampowered.com/app/594630/War_for_the_Overworld__The_Under_Games_Expansion/?snr=1_7_7_151_150_2
War for the Overworld - My Pet Dungeon Expansion,₪29.50,"3 Apr, 2017",https://store.steampowered.com/app/542160/War_for_the_Overworld__My_Pet_Dungeon_Expansion/?snr=1_7_7_151_150_2
Swords of Legends Online,Free to Play,"9 Jul, 2021",https://store.steampowered.com/app/1418100/Swords_of_Legends_Online/?snr=1_7_7_151_150_2
Shadows of Forbidden Gods,₪73.95,"1 Nov, 2021",https://store.steampowered.com/app/1741640/Shadows_of_Forbidden_Gods/?snr=1_7_7_151_150_2
Baldur's Gate: Siege of Dragonspear,₪73.95,"31 Mar, 2016",https://store.steampowered.com/app/385970/Baldurs_Gate_Siege_of_Dragonspear/?snr=1_7_7_151_150_2
Agony: Lords of Hell,none,TBA,https://store.steampowered.com/app/1493430/Agony_Lords_of_Hell/?snr=1_7_7_151_150_2
Warriors of the Nile 2,₪55.95,"23 Aug, 2022",https://store.steampowered.com/app/1682060/Warriors_of_the_Nile_2/?snr=1_7_7_151_150_3
The Heroic Legend of Eagarlnia,₪47.95,"13 Apr, 2022",https://store.steampowered.com/app/1116880/The_Heroic_Legend_of_Eagarlnia/?snr=1_7_7_151_150_3
军团战棋 Legion War Demo,Free Demo,"14 Feb, 2019",https://store.steampowered.com/app/975270/Legion_War/?snr=1_7_7_151_150_3
Rocksmith® 2014 Edition – Remastered – Amon Amarth - “War of the Gods”,₪10.95,"31 Oct, 2017",https://store.steampowered.com/app/637771/Rocksmith_2014_Edition__Remastered__Amon_Amarth__War_of_the_Gods/?snr=1_7_7_151_150_3
Black Geyser: Couriers of Darkness,₪110.95,"17 Mar, 2022",https://store.steampowered.com/app/1374930/Black_Geyser_Couriers_of_Darkness/?snr=1_7_7_151_150_3
Sands of Aura,₪92.95,"21 Oct, 2021",https://store.steampowered.com/app/1119840/Sands_of_Aura/?snr=1_7_7_151_150_3
Lords of Xulima,₪73.95,"14 Nov, 2014",https://store.steampowered.com/app/296570/Lords_of_Xulima/?snr=1_7_7_151_150_3
Choice of Magics,₪25.95,"10 Aug, 2018",https://store.steampowered.com/app/918380/Choice_of_Magics/?snr=1_7_7_151_150_3
Best of Kalypso Bundle,₪401.20,none,https://store.steampowered.com/bundle/23874/Best_of_Kalypso_Bundle/?snr=1_7_7_151_150_3
Age of Mythology EX: Tale of the Dragon,₪36.95,"28 Jan, 2016",https://store.steampowered.com/app/355960/Age_of_Mythology_EX_Tale_of_the_Dragon/?snr=1_7_7_151_150_3
12 Labours of Hercules V: Kids of Hellas (Platinum Edition),₪10.95,"17 Jun, 2016",https://store.steampowered.com/app/491330/12_Labours_of_Hercules_V_Kids_of_Hellas_Platinum_Edition/?snr=1_7_7_151_150_3
Champion of the Gods,₪18.50,"17 Jul, 2015",https://store.steampowered.com/app/386520/Champion_of_the_Gods/?snr=1_7_7_151_150_3
The Tarnishing of Juxtia,₪94.33,"26 Jul, 2022",https://store.steampowered.com/app/1428710/The_Tarnishing_of_Juxtia/?snr=1_7_7_151_150_3
Legend of Ares,Free To Play,"31 May, 2017",https://store.steampowered.com/app/536950/Legend_of_Ares/?snr=1_7_7_151_150_3
Guardians of Temple,none,"29 Dec, 2022",https://store.steampowered.com/app/1981360/Guardians_of_Temple/?snr=1_7_7_151_150_3
The Legend of Heroes: Sen no Kiseki III,₪169.95,"24 Mar, 2021",https://store.steampowered.com/app/1450080/The_Legend_of_Heroes_Sen_no_Kiseki_III/?snr=1_7_7_151_150_3
Reign Of Kings,discount from ₪36.95 to ₪9.23 (75%),"15 Dec, 2015",https://store.steampowered.com/app/344760/Reign_Of_Kings/?snr=1_7_7_151_150_3
World of Myths,Free To Play,"30 May, 2019",https://store.steampowered.com/app/907310/World_of_Myths/?snr=1_7_7_151_150_3
Seal of Evil,₪36.95,"27 Jan, 2022",https://store.steampowered.com/app/1726410/Seal_of_Evil/?snr=1_7_7_151_150_3
"Warhammer 40,000: Dawn of War II: Retribution - Word Bearers Skin Pack",₪25.95,"20 Oct, 2011",https://store.steampowered.com/app/56488/Warhammer_40000_Dawn_of_War_II_Retribution__Word_Bearers_Skin_Pack/?snr=1_7_7_151_150_3
The Odyssey: Winds of Athena,₪18.50,"6 Nov, 2015",https://store.steampowered.com/app/416080/The_Odyssey_Winds_of_Athena/?snr=1_7_7_151_150_3
Defense of Egypt: Cleopatra Mission,₪25.95,"29 Sep, 2016",https://store.steampowered.com/app/534010/Defense_of_Egypt_Cleopatra_Mission/?snr=1_7_7_151_150_3
Tears of Avia,₪55.95,"15 Oct, 2020",https://store.steampowered.com/app/461510/Tears_of_Avia/?snr=1_7_7_151_150_3
Story of a Gladiator,discount from ₪40.95 to ₪32.76 (20%),"27 Nov, 2019",https://store.steampowered.com/app/848060/Story_of_a_Gladiator/?snr=1_7_7_151_150_3
Kingdoms of Amalur: Re-Reckoning - Fatesworn,₪73.95,"14 Dec, 2021",https://store.steampowered.com/app/1278260/Kingdoms_of_Amalur_ReReckoning__Fatesworn/?snr=1_7_7_151_150_3
Guardian Of December,₪18.50,"30 Nov, 2016",https://store.steampowered.com/app/563910/Guardian_Of_December/?snr=1_7_7_151_150_4
Mordheim: City of the Damned - Wolf-Priest of Ulric,₪7.25,"14 Apr, 2016",https://store.steampowered.com/app/450810/Mordheim_City_of_the_Damned__WolfPriest_of_Ulric/?snr=1_7_7_151_150_4
Trail of Ayash,none,🟢 Play Prologue,https://store.steampowered.com/app/1383370/Trail_of_Ayash/?snr=1_7_7_151_150_4
Fantasy Grounds - Pathfinder RPG - Kingmaker AP 5: War of the River Kings,₪73.95,"1 Aug, 2017",https://store.steampowered.com/app/688820/Fantasy_Grounds__Pathfinder_RPG__Kingmaker_AP_5_War_of_the_River_Kings/?snr=1_7_7_151_150_4
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",₪3.50,"3 Mar, 2011",https://store.steampowered.com/app/56431/Warhammer_40000_Dawn_of_War_II__Retribution_Chaos_Space_Marines_Race_Pack/?snr=1_7_7_151_150_4
Breath of the Gods,none,Coming soon,https://store.steampowered.com/app/2188510/Breath_of_the_Gods/?snr=1_7_7_151_150_4
The Chronicles of Nyanya,discount from ₪73.95 to ₪7.39 (90%),"16 Feb, 2018",https://store.steampowered.com/app/704200/The_Chronicles_of_Nyanya/?snr=1_7_7_151_150_4
Exile of the Gods,₪25.95,"11 Jul, 2019",https://store.steampowered.com/app/1069610/Exile_of_the_Gods/?snr=1_7_7_151_150_4
Dice Of Olympus,none,Coming soon,https://store.steampowered.com/app/1515580/Dice_Of_Olympus/?snr=1_7_7_151_150_4
子夜之章:历史的终局～MidNights of Desperado～,discount from ₪18.50 to ₪10.17 (45%),"12 Mar, 2021",https://store.steampowered.com/app/1209770/MidNights_of_Desperado/?snr=1_7_7_151_150_4
Heroes of Steel RPG,₪36.95,"23 Apr, 2014",https://store.steampowered.com/app/291190/Heroes_of_Steel_RPG/?snr=1_7_7_151_150_4
HYBRIS - Pulse of Ruin,₪18.50,"14 Jun, 2018",https://store.steampowered.com/app/778800/HYBRIS__Pulse_of_Ruin/?snr=1_7_7_151_150_4
Cry of Athena VR Battle Simulator  VR Only,none,Coming soon,https://store.steampowered.com/app/1174770/Cry_of_Athena_VR_Battle_Simulator/?snr=1_7_7_151_150_4
Children of the Nile: Enhanced Edition,₪29.50,"22 Sep, 2008",https://store.steampowered.com/app/17100/Children_of_the_Nile_Enhanced_Edition/?snr=1_7_7_151_150_4
Mordheim: City of the Damned - Witch Hunters,₪36.95,"21 Jun, 2016",https://store.steampowered.com/app/450812/Mordheim_City_of_the_Damned__Witch_Hunters/?snr=1_7_7_151_150_4
Choice of the Vampire,₪21.95,"9 Feb, 2018",https://store.steampowered.com/app/776000/Choice_of_the_Vampire/?snr=1_7_7_151_150_4
Demon's Rise - Lords of Chaos,₪25.95,"24 Apr, 2018",https://store.steampowered.com/app/844420/Demons_Rise__Lords_of_Chaos/?snr=1_7_7_151_150_4
罪印 Seal of sins,₪10.95,"22 Jun, 2021",https://store.steampowered.com/app/1633460/_Seal_of_sins/?snr=1_7_7_151_150_4
The Eyes Of Mars,none,2023,https://store.steampowered.com/app/2247540/The_Eyes_Of_Mars/?snr=1_7_7_151_150_4
Primordials: Battle of Gods,Free to Play,"3 Mar, 2021",https://store.steampowered.com/app/1316870/Primordials_Battle_of_Gods/?snr=1_7_7_151_150_4
A Plague Tale: Innocence - Coats of Arms DLC,discount from ₪8.00 to ₪4.00 (50%),"13 May, 2019",https://store.steampowered.com/app/967380/A_Plague_Tale_Innocence__Coats_of_Arms_DLC/?snr=1_7_7_151_150_4
Lords of the Realm III,₪18.50,"3 Dec, 2015",https://store.steampowered.com/app/254860/Lords_of_the_Realm_III/?snr=1_7_7_151_150_4
The World of Labyrinths: Labyronia,₪3.50,"1 Jun, 2018",https://store.steampowered.com/app/864740/The_World_of_Labyrinths_Labyronia/?snr=1_7_7_151_150_4
Choice of the Viking,discount from ₪29.50 to ₪19.47 (34%),"15 Dec, 2022",https://store.steampowered.com/app/1975530/Choice_of_the_Viking/?snr=1_7_7_151_150_4
Temple of Steel,none,"27 Oct, 2023",https://store.steampowered.com/app/2233970/Temple_of_Steel/?snr=1_7_7_151_150_4
Ash of Gods: The Way,none,Coming soon,https://store.steampowered.com/app/1293460/Ash_of_Gods_The_Way/?snr=1_7_7_151_150_5
Academagia: The Making of Mages,₪58.95,"20 Apr, 2017",https://store.steampowered.com/app/533480/Academagia_The_Making_of_Mages/?snr=1_7_7_151_150_5
Best of the best,"discount from ₪3,891.63 to ₪741.45 (81%)",none,https://store.steampowered.com/bundle/18201/Best_of_the_best/?snr=1_7_7_151_150_5
Tales of Nebezem: Elemental Link,₪14.50,"22 Feb, 2018",https://store.steampowered.com/app/788410/Tales_of_Nebezem_Elemental_Link/?snr=1_7_7_151_150_5
KAMiBAKO - Mythology of Cube -,none,TBD,https://store.steampowered.com/app/2081340/KAMiBAKO__Mythology_of_Cube/?snr=1_7_7_151_150_5
Heroes of Hellas Origins: Part One,discount from ₪25.95 to ₪5.19 (80%),"9 Oct, 2019",https://store.steampowered.com/app/1158260/Heroes_of_Hellas_Origins_Part_One/?snr=1_7_7_151_150_5
Xuan-Yuan Sword: The Gate of Firmament,₪55.95,"25 Feb, 2016",https://store.steampowered.com/app/427030/XuanYuan_Sword_The_Gate_of_Firmament/?snr=1_7_7_151_150_5
Song of Iron 2,none,Coming soon! Wishlist today!,https://store.steampowered.com/app/1979660/Song_of_Iron_2/?snr=1_7_7_151_150_5
Eador. Masters of the Broken World,₪73.95,"19 Apr, 2013",https://store.steampowered.com/app/232050/Eador_Masters_of_the_Broken_World/?snr=1_7_7_151_150_5
Fate of the Storm Gods,₪21.95,"28 Jan, 2021",https://store.steampowered.com/app/1380120/Fate_of_the_Storm_Gods/?snr=1_7_7_151_150_5
"Warhammer 40,000: Gladius - Adeptus Mechanicus",₪55.95,"22 Nov, 2021",https://store.steampowered.com/app/1788210/Warhammer_40000_Gladius__Adeptus_Mechanicus/?snr=1_7_7_151_150_5
Marlow Briggs and the Mask of Death,none,"20 Sep, 2013",https://store.steampowered.com/app/249680/Marlow_Briggs_and_the_Mask_of_Death/?snr=1_7_7_151_150_5
Seinarukana -The Spirit of Eternity Sword 2-,₪110.95,"26 Jan, 2017",https://store.steampowered.com/app/445430/Seinarukana_The_Spirit_of_Eternity_Sword_2/?snr=1_7_7_151_150_5
Dragon Throne Battle of Red Cliffs,none,Coming soon,https://store.steampowered.com/app/1733020/Dragon_Throne_Battle_of_Red_Cliffs/?snr=1_7_7_151_150_5
Adventure in the Tower of Flight,₪18.50,"23 Dec, 2015",https://store.steampowered.com/app/368830/Adventure_in_the_Tower_of_Flight/?snr=1_7_7_151_150_5
ATONE: Heart of the Elder Tree,none,"27 Jan, 2023",https://store.steampowered.com/app/894620/ATONE_Heart_of_the_Elder_Tree/?snr=1_7_7_151_150_5
Builders of Egypt: First pyramid,Free,"23 Jan, 2023",https://store.steampowered.com/app/1828060/Builders_of_Egypt_First_pyramid/?snr=1_7_7_151_150_5
Wayfarers: Call of Osiris,none,Coming soon,https://store.steampowered.com/app/1523330/Wayfarers_Call_of_Osiris/?snr=1_7_7_151_150_5
Pentaquin: Deeds Of Twilight,none,TBA,https://store.steampowered.com/app/913800/Pentaquin_Deeds_Of_Twilight/?snr=1_7_7_151_150_5
Wasteland 3: Cult of the Holy Detonation,₪25.95,"5 Oct, 2021",https://store.steampowered.com/app/1593330/Wasteland_3_Cult_of_the_Holy_Detonation/?snr=1_7_7_151_150_5
"Warhammer 40,000: Sanctus Reach - Horrors of the Warp",₪55.95,"24 May, 2018",https://store.steampowered.com/app/841150/Warhammer_40000_Sanctus_Reach__Horrors_of_the_Warp/?snr=1_7_7_151_150_5
Fantasy Toonz: Embers of Creation,none,End of Q3 2023,https://store.steampowered.com/app/1699140/Fantasy_Toonz_Embers_of_Creation/?snr=1_7_7_151_150_5
Knight of the Forgotten Realm,none,When it's ready.,https://store.steampowered.com/app/1840410/Knight_of_the_Forgotten_Realm/?snr=1_7_7_151_150_5
A Short Tale of Solitude,none,Coming soon,https://store.steampowered.com/app/1387210/A_Short_Tale_of_Solitude/?snr=1_7_7_151_150_5
Of Gods and Men: The Daybreak Empire,Free to Play,"9 Nov, 2018",https://store.steampowered.com/app/936610/Of_Gods_and_Men_The_Daybreak_Empire/?snr=1_7_7_151_150_5
Legend of Rome - The Wrath of Mars,₪36.95,"5 May, 2022",https://store.steampowered.com/app/1968760/Legend_of_Rome__The_Wrath_of_Mars/?snr=1_7_7_151_150_6
Reverie Knights Tactics + Ash of Gods: Redemption Complete Your Set,₪167.30,none,https://store.steampowered.com/bundle/24553/Reverie_Knights_Tactics__Ash_of_Gods_Redemption_Complete_Your_Set/?snr=1_7_7_151_150_6
Heroes of Myths - Warriors of Gods,₪7.25,"7 Dec, 2017",https://store.steampowered.com/app/680100/Heroes_of_Myths__Warriors_of_Gods/?snr=1_7_7_151_150_6
Guarding Goddess,Free To Play,"10 Nov, 2022",https://store.steampowered.com/app/1909860/Guarding_Goddess/?snr=1_7_7_151_150_6
Rise of Crustaceans,none,"28 May, 2018",https://store.steampowered.com/app/854310/Rise_of_Crustaceans/?snr=1_7_7_151_150_6
SUPER ROBOT WARS 30 - Expansion Pack,₪99.00,"12 Apr, 2022",https://store.steampowered.com/app/1823802/SUPER_ROBOT_WARS_30__Expansion_Pack/?snr=1_7_7_151_150_6
